,Gini
2000,0.22451101874621338
2001,0.2135072514752705
2002,0.19938748518838323
2003,0.19546234921186256
2004,0.18759710162569654
2005,0.19978139730359734
2006,0.20788572590261412
2007,0.21232665139982676
2008,0.21237309720888353
2009,0.207704088240507
2010,0.19895172879673084
2011,0.20371225999218612
2012,0.2114473686291034
2013,0.21495120447051397
2014,0.22095198038263342
2015,0.21382842260670754
2016,0.2122707550960783
2017,0.21279600018209766
2018,0.20802317167721118
2019,0.2068358185442729
2020,0.1866762815666505
2021,0.2057030870879839
2022,0.1919182094073435
2023,0.18607175700465528
