year,median,mean,p25,p75,p10,p90,min,max
2000,4.1000000000000005,4.549456014920734,3.2,5.300000000000001,2.6,6.9,1.3,17.3
2001,4.800000000000001,5.2425551756294695,3.8000000000000003,6.1000000000000005,3.1,7.7,1.6,18.6
2002,5.6000000000000005,5.988654025489587,4.5,6.9,3.6,8.700000000000001,1.6,19.900000000000002
2003,5.800000000000001,6.234193347839603,4.7,7.300000000000001,3.8000000000000003,9.0,1.9000000000000001,20.200000000000003
2004,5.5,5.887752564501088,4.5,6.7,3.7,8.5,1.6,20.200000000000003
2005,5.2,5.681277258566979,4.2,6.5,3.5,8.3,2.0,21.0
2006,4.800000000000001,5.161401869158878,3.8000000000000003,5.9,3.0,7.6000000000000005,1.6,20.700000000000003
2007,4.7,5.115853279452907,3.7,5.9,2.9000000000000004,7.5,1.4000000000000001,20.200000000000003
2008,5.7,6.041995648119365,4.4,7.2,3.4000000000000004,8.9,1.3,22.6
2009,8.9,9.296145477152628,6.9,11.200000000000001,5.1000000000000005,13.9,2.0,28.3
2010,9.3,9.578595837216527,7.300000000000001,11.5,5.300000000000001,13.62000000000003,2.0,29.400000000000002
2011,8.700000000000001,8.919850885368128,6.7,10.600000000000001,4.9,12.700000000000001,1.4000000000000001,29.3
2012,7.7,8.038241689965828,5.9,9.600000000000001,4.380000000000002,11.600000000000001,1.1,27.700000000000003
2013,7.2,7.591301646474061,5.5,9.1,4.1000000000000005,10.920000000000028,1.2000000000000002,27.400000000000002
2014,6.1000000000000005,6.483193538365953,4.7,7.6000000000000005,3.5,9.4,1.2000000000000002,26.400000000000002
2015,5.300000000000001,5.738303821062441,4.2,6.7,3.3000000000000003,8.3,1.8,24.6
2016,5.0,5.437496116806462,4.0,6.2,3.2,7.800000000000001,1.6,24.200000000000003
2017,4.4,4.7968934451693075,3.5,5.5,2.9000000000000004,6.9,1.5,20.6
2018,3.9000000000000004,4.279838459148804,3.1,4.9,2.6,6.1000000000000005,1.2000000000000002,18.8
2019,3.7,4.103510406958683,3.0,4.7,2.6,5.9,0.8,20.700000000000003
2020,6.6000000000000005,6.762953532781668,5.2,8.1,4.0,9.600000000000001,1.6,22.6
2021,4.5,4.754037267080745,3.5,5.6000000000000005,2.8000000000000003,7.0,0.9,19.400000000000002
2022,3.5,3.6803416149068324,2.8000000000000003,4.3,2.3000000000000003,5.2,0.6000000000000001,14.9
2023,3.4000000000000004,3.675124223602485,2.8000000000000003,4.2,2.3000000000000003,5.1000000000000005,0.30000000000000004,17.3
